model_number, smoothed_rmse, internal_rmse
0,5.794079243878547,4.468629443147371
1,4.57343147995921,3.158971010124737
2,180.7385651323798,180.64543257025156
3,23.793024569240455,23.433285723868963
4,32.496427373518024,32.555999446396385
5,4.0195654901353395,2.8878516227947975
6,73.63758698698376,73.57240327879258
7,4.633739167043917,3.4279801917735457
8,101.09231332251775,101.03559197828753
9,38.71232866238644,38.62667721888445
10,4.470436642043119,2.929234812314088
11,4.668414424033963,3.646314506612235
12,938.4633494374114,938.4525884756013
13,5.16652835458506,4.013181406361628
14,101.53396082277045,101.5457474718322
15,8.055823219762416,7.44729018468752
16,5.013744336136904,4.07779788747213
17,292.8841952107169,292.8647366190603
18,4.942834221628093,3.9894858568609233
19,128.2468075027163,128.20174909578222
20,15.93664195339023,15.60660097762164
21,743.8303551638543,743.7396662776074
22,4.995233684389404,3.781095628409862
23,6.877579413652156,6.056775859752521
24,4.1872451569712466,2.8400589044457525
25,5.313056247341177,4.345769735033224
26,5.322085421684973,4.494141678665203
27,7.5174668381589305,6.868277435563423
